County,City,Data Points,MAPE,MAE,RMSE,R2 Score
Ida,Holstein,52,14.82,29264.19,36755.73,-2.48
Mills,Pacific Junction,52,14.85,32319.63,44852.9,0.07
Hancock,Britt,52,14.98,53917.48,66344.28,-0.4
Warren,New Virginia,52,15.0,11072.42,11792.68,-1.24
Linn,Ely,52,15.0,25429.46,29109.01,-0.68
Black Hawk,Hudson,52,15.01,52217.0,62043.13,-1.65
Jackson,Bellevue,52,15.04,70983.17,85265.32,-0.68
Linn,Central City,52,15.11,26542.12,33049.48,0.08
Davis,Bloomfield,52,15.12,276711.07,359349.48,-0.29
Cherokee,Marcus,52,15.26,94083.26,126663.93,-0.33
Marshall,Legrand,40,15.33,3568.67,4229.2,-0.53
Poweshiek,Victor,34,15.39,7034.09,7784.98,-1.51
Sioux,Boyden,52,15.47,12407.91,16039.77,0.0
Story,Kelley,52,15.55,5049.06,6607.01,-1.08
Worth,Northwood,52,15.61,82415.02,102259.45,-0.77
Lee,Montrose,52,15.63,8853.19,9493.65,0.32
Sioux,Hull,52,15.63,115415.5,138740.61,-0.32
Henry,Salem,52,15.65,6803.8,8117.77,0.19
Hamilton,Stratford,52,15.67,12851.73,16911.4,0.28
Floyd,Rockford,52,15.73,7712.11,10169.03,-1.39
Benton,Belle Plaine,52,15.75,50636.82,58592.21,-1.09
Mitchell,Riceville,52,15.83,15175.88,17323.43,-0.14
Wright,Goldfield,52,15.89,20385.78,25608.47,-0.16
Kossuth,West Bend,52,15.91,16440.85,20616.19,-0.89
Benton,Newhall,52,15.97,15665.62,17397.67,-1.23
Winnebago,Forest City,52,15.99,112208.29,132124.71,-0.7
Johnson,Other,52,16.08,59912.41,79265.9,0.35
Henry,Mount Pleasant,52,16.18,521068.48,678325.15,-0.62
Clayton,Guttenberg,52,16.36,73267.53,83309.0,-0.33
Fremont,Tabor,52,16.36,11839.25,12791.21,-1.41
Lyon,Doon,52,16.37,33107.63,39750.72,0.25
Jasper,Sully,52,16.38,52262.09,61662.48,-0.65
Sac,Early,52,16.39,11509.21,20020.71,-0.44
Floyd,Nora Springs,52,16.44,15325.58,16936.07,0.15
Tama,Gladbrook,52,16.53,24805.22,35505.35,-0.24
Monroe,Albia,52,16.56,130864.75,158429.17,-0.41
Woodbury,Correctionville,52,16.6,26815.03,29067.19,-1.24
Buchanan,Fairbank,52,16.61,36896.35,41132.26,-0.15
Chickasaw,Lawler,52,16.68,19703.8,26568.09,-0.03
Jefferson,Batavia,52,16.7,80765.75,88629.05,-1.31
Butler,New Hartford,52,16.73,8421.49,10743.11,-0.75
Sac,Wall Lake,52,16.79,32733.0,40352.12,-1.26
Clinton,Low Moor,51,16.79,6453.07,7995.15,0.15
Plymouth,Merrill,52,16.81,11888.74,15504.51,-0.43
Marshall,Melbourne,52,16.81,5170.88,6248.44,-0.68
Jackson,St. Donatus,36,16.89,4350.42,5412.56,-1.51
Dubuque,Sherrill,52,16.92,9161.47,10187.35,-0.55
Harrison,Modale,50,16.93,1592.74,2067.76,-0.83
Buchanan,Quasqueton,48,16.93,5598.22,6696.36,-3.15
Keokuk,Sigourney,52,16.95,74945.5,84483.98,0.41
Fayette,Wadena,52,16.96,2715.34,3297.69,-2.26
Guthrie,Bayard,52,16.98,10989.47,12583.96,-2.55
Allamakee,Postville,52,17.05,49723.24,55191.36,-1.01
O'Brien,Sutherland,52,17.08,16677.42,19584.27,0.31
Clayton,Other,52,17.12,32382.14,38498.2,0.3
Pottawattamie,Neola,52,17.12,21345.67,26039.64,0.27
Clayton,Edgewood,52,17.14,64344.24,80668.14,0.21
Warren,Hartford,52,17.24,7801.54,9635.61,0.12
Henry,New London,52,17.29,26425.46,30108.06,0.26
Fayette,Maynard,52,17.33,6314.57,8234.68,0.02
Greene,Scranton,52,17.38,15696.38,17080.84,-0.65
Clarke,Murray,52,17.46,9978.47,12651.96,-0.01
Kossuth,Fenton,52,17.48,2645.98,3144.3,0.01
Scott,Blue Grass,52,17.54,54442.74,62184.64,-1.84
Adair,Fontanelle,52,17.55,10955.48,13199.41,-0.77
Story,Gilbert,52,17.56,14556.92,16011.8,-0.21
Linn,Lisbon,52,17.62,46952.47,56006.67,-1.09
O'Brien,Hartley,52,17.63,40458.18,47909.04,-0.58
Howard,Riceville,52,17.64,20016.46,22652.18,0.32
Buena Vista,Linn Grove,52,17.66,2115.37,2502.04,-0.9
Iowa,Victor,52,17.7,18591.12,21074.11,0.14
Linn,Coggon,52,17.73,14132.71,16836.58,-0.16
Shelby,Elk Horn,52,17.74,10099.09,12065.64,-12.32
Kossuth,Swea City,52,17.78,8700.02,9298.2,-0.64
Muscatine,Conesville,19,17.81,1452.44,1793.81,-0.69
Howard,Lime Springs,52,17.81,16528.33,18881.45,-0.55
Sioux,Rock Valley,52,17.83,264437.35,362157.59,-0.5
Tama,Dysart,52,17.85,25701.59,27637.87,-2.07
Grundy,Conrad,52,17.88,32672.48,35692.2,-3.64
Humboldt,Gilmore City,39,17.97,4148.71,5289.62,-1.86
Woodbury,Moville,52,18.05,34279.06,39691.2,0.05
Woodbury,Lawton,52,18.07,37479.34,42958.05,-1.0
Sioux,Hospers,52,18.15,28244.66,35282.09,-1.74
Howard,Chester,52,18.18,10253.7,11922.67,-0.65
Clinton,Goose Lake,52,18.25,5477.89,7140.58,-0.64
Clayton,Elkader,52,18.31,174975.36,240482.71,-0.62
Calhoun,Pomeroy,52,18.31,8912.75,11039.24,-0.12
